Ejection Angle,Neutron Energy,Reaction Label,Intensities
82.0,0.6636044436065226,"Si29(a,n)S32",0.8192127540833759
83.0,0.6608489656016364,"Si29(a,n)S32",0.8158377806483312
84.0,0.6580989707527674,"Si29(a,n)S32",0.8124658856546014
85.0,0.6553553297865644,"Si29(a,n)S32",0.8090981592993176
86.0,0.6526189008096053,"Si29(a,n)S32",0.8057356809466563
87.0,0.6498905290723765,"Si29(a,n)S32",0.8023795187280909
88.0,0.6471710467509272,"Si29(a,n)S32",0.7990307291588086
89.0,0.6444612727460614,"Si29(a,n)S32",0.7956903567705061
90.0,0.6417620124999146,"Si29(a,n)S32",0.7923594337607457
91.0,0.6390740578297339,"Si29(a,n)S32",0.7890389796590361
92.0,0.6363981867786648,"Si29(a,n)S32",0.7857300010097705
93.0,0.6337351634833148,"Si29(a,n)S32",0.7824334910721253
94.0,0.6310857380578623,"Si29(a,n)S32",0.7791504295370094
95.0,0.6284506464944356,"Si29(a,n)S32",0.7758817822611054
96.0,0.6258306105794934,"Si29(a,n)S32",0.7726285010180438
97.0,0.6232263378258976,"Si29(a,n)S32",0.7693915232667021
98.0,0.6206385214203717,"Si29(a,n)S32",0.7661717719366089
99.0,0.6180678401860055,"Si29(a,n)S32",0.7629701552304008
100.0,0.6155149585594688,"Si29(a,n)S32",0.75978756644326
101.0,0.6129805265825649,"Si29(a,n)S32",0.7566248837992239
102.0,0.6104651799077582,"Si29(a,n)S32",0.7534829703042503
103.0,0.6079695398172879,"Si29(a,n)S32",0.7503626736158823
104.0,0.6054942132554707,"Si29(a,n)S32",0.747264825929338
105.0,0.6030397928737896,"Si29(a,n)S32",0.7441902438798342
106.0,0.6006068570883549,"Si29(a,n)S32",0.741139728460922
107.0,0.5981959701493076,"Si29(a,n)S32",0.7381140649585887
108.0,0.5958076822217445,"Si29(a,n)S32",0.7351140229008705
109.0,0.5934425294777237,"Si29(a,n)S32",0.7321403560226922
110.0,0.5911010341989092,"Si29(a,n)S32",0.7291938022456287
111.0,0.5887837048894106,"Si29(a,n)S32",0.7262750836722689
112.0,0.5864910363983703,"Si29(a,n)S32",0.723384906594848
113.0,0.5842235100518414,"Si29(a,n)S32",0.7205239615177844
114.0,0.5819815937935092,"Si29(a,n)S32",0.7176929231937593
115.0,0.5797657423337998,"Si29(a,n)S32",0.7148924506729459
116.0,0.5775763973069185,"Si29(a,n)S32",0.712123187364988
117.0,0.5754139874353704,"Si29(a,n)S32",0.7093857611133229
118.0,0.5732789287015057,"Si29(a,n)S32",0.7066807842814072
119.0,0.5711716245256435,"Si29(a,n)S32",0.7040088538504281
120.0,0.5690924659503245,"Si29(a,n)S32",0.7013705515280348
121.0,0.5670418318302491,"Si29(a,n)S32",0.6987664438676475
122.0,0.5650200890274637,"Si29(a,n)S32",0.6961970823978733
123.0,0.5630275926113555,"Si29(a,n)S32",0.6936630037615572
124.0,0.561064686063031,"Si29(a,n)S32",0.6911647298639964
125.0,0.5591317014836492,"Si29(a,n)S32",0.6887027680298263
126.0,0.5572289598062973,"Si29(a,n)S32",0.6862776111681015
127.0,0.5553567710109901,"Si29(a,n)S32",0.683889737945072
128.0,0.5535154343423964,"Si29(a,n)S32",0.681539612964169
129.0,0.5517052385298888,"Si29(a,n)S32",0.6792276869527002
130.0,0.5499264620095337,"Si29(a,n)S32",0.6769543969547671
131.0,0.5481793731476372,"Si29(a,n)S32",0.6747201665299039
132.0,0.5464642304654729,"Si29(a,n)S32",0.6725254059569439
133.0,0.5447812828648316,"Si29(a,n)S32",0.6703705124426287
134.0,0.5431307698540364,"Si29(a,n)S32",0.6682558703344648
135.0,0.5415129217740737,"Si29(a,n)S32",0.6661818513373442
136.0,0.5399279600245097,"Si29(a,n)S32",0.6641488147334499
137.0,0.5383760972888569,"Si29(a,n)S32",0.6621571076049632
138.0,0.5368575377590825,"Si29(a,n)S32",0.660207065059111
139.0,0.5353724773589387,"Si29(a,n)S32",0.6582990104550791
140.0,0.5339211039658265,"Si29(a,n)S32",0.6564332556323392
141.0,0.5325035976308966,"Si29(a,n)S32",0.654610101139933
142.0,0.5311201307971102,"Si29(a,n)S32",0.6528298364662722
143.0,0.5297708685149909,"Si29(a,n)S32",0.6510927402690209
144.0,0.5284559686558059,"Si29(a,n)S32",0.6493990806046283
145.0,0.5271755821219218,"Si29(a,n)S32",0.6477491151570938
146.0,0.525929853054104,"Si29(a,n)S32",0.6461430914655617
147.0,0.5247189190355128,"Si29(a,n)S32",0.6445812471503374
148.0,0.5235429112921879,"Si29(a,n)S32",0.6430638101369408
149.0,0.5224019548897969,"Si29(a,n)S32",0.6415909988778181
150.0,0.5212961689264473,"Si29(a,n)S32",0.6401630225713373
151.0,0.5202256667213664,"Si29(a,n)S32",0.6387800813777164
152.0,0.5191905559992622,"Si29(a,n)S32",0.6374423666315341
153.0,0.5181909390701818,"Si29(a,n)S32",0.6361500610504819
154.0,0.5172269130047049,"Si29(a,n)S32",0.6349033389400404
155.0,0.516298569804303,"Si29(a,n)S32",0.6337023663937597
156.0,0.5154059965667139,"Si29(a,n)S32",0.6325473014888436
157.0,0.5145492756461858,"Si29(a,n)S32",0.6314382944767457
158.0,0.5137284848084479,"Si29(a,n)S32",0.6303754879684967
159.0,0.5129436973802824,"Si29(a,n)S32",0.6293590171144975
160.0,0.512194982393568,"Si29(a,n)S32",0.6283890097785156
161.0,0.5114824047236805,"Si29(a,n)S32",0.6274655867056445
162.0,0.5108060252221419,"Si29(a,n)S32",0.6265888616839902
163.0,0.5101659008434105,"Si29(a,n)S32",0.6257589416998609
164.0,0.5095620847657178,"Si29(a,n)S32",0.6249759270862516
165.0,0.5089946265058602,"Si29(a,n)S32",0.6242399116644204
166.0,0.50846357202786,"Si29(a,n)S32",0.6235509828783696
167.0,0.5079689638454191,"Si29(a,n)S32",0.6229092219220582
168.0,0.5075108411180894,"Si29(a,n)S32",0.6223147038591701
169.0,0.507089239741093,"Si29(a,n)S32",0.6217674977352938
170.0,0.5067041924287305,"Si29(a,n)S32",0.6212676666823626
171.0,0.5063557287913222,"Si29(a,n)S32",0.6208152680152261
172.0,0.5060438754056239,"Si29(a,n)S32",0.6204103533202292
173.0,0.5057686558786795,"Si29(a,n)S32",0.6200529685356877
174.0,0.5055300909050592,"Si29(a,n)S32",0.6197431540241601
175.0,0.5053281983174527,"Si29(a,n)S32",0.6194809446364298
176.0,0.505162993130581,"Si29(a,n)S32",0.6192663697671116
177.0,0.505034487578401,"Si29(a,n)S32",0.6190994534018206
178.0,0.5049426911445751,"Si29(a,n)S32",0.6189802141558427
179.0,0.504887610586193,"Si29(a,n)S32",0.6189086653042606
